"competitorname","chocolate","fruity","caramel","peanutyalmondy","nougat","crispedricewafer","hard","bar","pluribus","sugarpercent","pricepercent","winpercent"
"100 Grand",1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,0.6697
"3 Musketeers",1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.676
"One dime",0,0,0,0,0,0,0,0,0,0.011,0.116,0.3226
"One quarter",0,0,0,0,0,0,0,0,0,0.011,0.51099998,0.4612
"Air Heads",0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,0.5234
"Almond Joy",1,0,0,1,0,0,0,1,0,0.465,0.76700002,0.5035
"Baby Ruth",1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,0.5691
"Boston Baked Beans",0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,0.2342
"Candy Corn",0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,0.3801
"Caramel Apple Pops",0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,0.3452
"Charleston Chew",1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,0.3898
"Chewey Lemonhead Fruit Mix",0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.3602
"Chiclets",0,1,0,0,0,0,0,0,1,0.046,0.32499999,0.2452
"Dots",0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,0.4227
"Dum Dums",0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,0.3946
"Fruit Chews",0,1,0,0,0,0,0,0,1,0.127,0.034000002,0.4309
"Fun Dip",0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,0.3919
"Gobstopper",0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,0.4678
"Haribo Gold Bears",0,1,0,0,0,0,0,0,1,0.465,0.465,0.5712
"Haribo Happy Cola",0,0,0,0,0,0,0,0,1,0.465,0.465,0.3416
"Haribo Sour Bears",0,1,0,0,0,0,0,0,1,0.465,0.465,0.5141
"Haribo Twin Snakes",0,1,0,0,0,0,0,0,1,0.465,0.465,0.4218
"Hershey's Kisses",1,0,0,0,0,0,0,0,1,0.127,0.093000002,0.5538
"Hershey's Krackel",1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,0.6228
"Hershey's Milk Chocolate",1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.5649
"Hershey's Special Dark",1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,0.5924
"Jawbusters",0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,0.2813
"Junior Mints",1,0,0,0,0,0,0,0,1,0.197,0.51099998,0.5722
"Kit Kat",1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,0.7677
"Laffy Taffy",0,1,0,0,0,0,0,0,0,0.22,0.116,0.4139
"Lemonhead",0,1,0,0,0,0,1,0,0,0.046,0.104,0.3914
"Lifesavers big ring gummies",0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,0.5291
"Peanut butter M&M's",1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,0.7147
"M&M's",1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,0.6657
"Mike & Ike",0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,0.4641
"Milk Duds",1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,0.5506
"Milky Way",1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,0.731
"Milky Way Midnight",1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,0.608
"Milky Way Simply Caramel",1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,0.6435
"Mounds",1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,0.4783
"Mr Good Bar",1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,0.5453
"Nerds",0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,0.5535
"Nestle Butterfinger",1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,0.7074
"Nestle Crunch",1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,0.6647
"Nik L Nip",0,1,0,0,0,0,0,0,1,0.197,0.97600001,0.2245
"Now & Later",0,1,0,0,0,0,0,0,1,0.22,0.32499999,0.3945
"Payday",0,0,0,1,1,0,0,1,0,0.465,0.76700002,0.463
"Peanut M&Ms",1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,0.6948
"Pixie Sticks",0,0,0,0,0,0,0,0,1,0.093000002,0.023,0.3772
"Pop Rocks",0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,0.4127
"Red vines",0,1,0,0,0,0,0,0,1,0.58099997,0.116,0.3735
"Reese's Miniatures",1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,0.8187
"Reese's Peanut Butter cup",1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,0.8418
"Reese's pieces",1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,0.7343
"Reese's stuffed with pieces",1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,0.7289
"Ring pop",0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,0.3529
"Rolo",1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,0.6572
"Root Beer Barrels",0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,0.297
"Runts",0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,0.4285
"Sixlets",1,0,0,0,0,0,0,0,1,0.22,0.081,0.3472
"Skittles original",0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.6309
"Skittles wildberry",0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.551
"Nestle Smarties",1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,0.3789
"Smarties candy",0,1,0,0,0,0,1,0,1,0.26699999,0.116,0.46
"Snickers",1,0,1,1,1,0,0,1,0,0.546,0.65100002,0.7667
"Snickers Crisper",1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,0.5953
"Sour Patch Kids",0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.5986
"Sour Patch Tricksters",0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.5283
"Starburst",0,1,0,0,0,0,0,0,1,0.15099999,0.22,0.6704
"Strawberry bon bons",0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,0.3458
"Sugar Babies",0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,0.3344
"Sugar Daddy",0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,0.3223
"Super Bubble",0,1,0,0,0,0,0,0,0,0.162,0.116,0.273
"Swedish Fish",0,1,0,0,0,0,0,0,1,0.60399997,0.755,0.5486
"Tootsie Pop",1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,0.4898
"Tootsie Roll Juniors",1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0.4307
"Tootsie Roll Midgies",1,0,0,0,0,0,0,0,1,0.17399999,0.011,0.4574
"Tootsie Roll Snack Bars",1,0,0,0,0,0,0,1,0,0.465,0.32499999,0.4965
"Trolli Sour Bites",0,1,0,0,0,0,0,0,1,0.31299999,0.255,0.4717
"Twix",1,0,1,0,0,1,0,1,0,0.546,0.90600002,0.8164
"Twizzlers",0,1,0,0,0,0,0,0,0,0.22,0.116,0.4547
"Warheads",0,1,0,0,0,0,1,0,0,0.093000002,0.116,0.3901
"Welch's Fruit Snacks",0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,0.4438
"Werther's Original Caramel",0,0,1,0,0,0,1,0,0,0.186,0.26699999,0.419
"Whoppers",1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,0.4952
